id;start_date;end_date;language
1;2020-03-24T10:36:00;2020-03-24T08:26:15;SPANISH
2;2020-03-23T15:26:11;2020-03-24T10:30:36;SPANISH
3;2020-03-24T06:21:30;2020-03-23T16:55:39;FRENCH
4;2020-03-23T21:39:01;2020-03-24T09:10:27;FRENCH
5;2020-03-24T07:09:19;2020-03-24T11:56:18;FRENCH
6;2020-03-24T01:01:40;2020-03-24T13:09:54;FRENCH
7;2020-03-24T02:47:00;2020-03-23T20:37:51;FRENCH
8;2020-03-24T01:43:13;2020-03-24T11:59:21;SPANISH
9;2020-03-24T00:24:22;2020-03-23T21:05:45;SPANISH
10;2020-03-24T08:36:26;2020-03-23T19:10:56;SPANISH
